Model,window_size,window_weight,window_type,normalization,reduction,sim_type
M1,1,linear,forward,ppmi,non,cos
M2,1,linear,forward,ppmi,non,distance
M3,1,linear,forward,ppmi,non,corr
M4,1,linear,forward,ppmi,svd,cos
M5,1,linear,forward,ppmi,svd,distance
M6,1,linear,forward,ppmi,svd,corr
M7,1,linear,forward,non,non,cos
M8,1,linear,forward,non,non,distance
M9,1,linear,forward,non,non,corr
M10,1,linear,forward,non,svd,cos
M11,1,linear,forward,non,svd,distance
M12,1,linear,forward,non,svd,corr
M13,1,linear,backward,ppmi,non,cos
M14,1,linear,backward,ppmi,non,distance
M15,1,linear,backward,ppmi,non,corr
M16,1,linear,backward,ppmi,svd,cos
M17,1,linear,backward,ppmi,svd,distance
M18,1,linear,backward,ppmi,svd,corr
M19,1,linear,backward,non,non,cos
M20,1,linear,backward,non,non,distance
M21,1,linear,backward,non,non,corr
M22,1,linear,backward,non,svd,cos
M23,1,linear,backward,non,svd,distance
M24,1,linear,backward,non,svd,corr
M25,1,linear,summed,ppmi,non,cos
M26,1,linear,summed,ppmi,non,distance
M27,1,linear,summed,ppmi,non,corr
M28,1,linear,summed,ppmi,svd,cos
M29,1,linear,summed,ppmi,svd,distance
M30,1,linear,summed,ppmi,svd,corr
M31,1,linear,summed,non,non,cos
M32,1,linear,summed,non,non,distance
M33,1,linear,summed,non,non,corr
M34,1,linear,summed,non,svd,cos
M35,1,linear,summed,non,svd,distance
M36,1,linear,summed,non,svd,corr
